EntrezID,iPrEC_basal_average,iPrEC_4day_average,iPrEc_8day_average,iPrEC_11day_average,iPrEC_14day_average,iPrEC_17day_average,EMP_basal_average,EMP_4day_average,EMP_8day_average,EMP_11day_average,EMP_14day_average,EMP_17day_average
100507064,0,0,0,0.019277178,0,0,0.022130299,0,0.019429486,0,0,0
84935,0,0.025248535,0.015481349,0.019277178,0.018806915,0.073193804,0.069626412,0.019376701,0,0.043665742,0.04613517,0.123932715
122046,0,0.018332881,0.046444046,0.019426045,0.074044541,0,0,0,0,0,0.018558702,0
10808,115.776382,145.7460166,115.4557021,143.2947157,499.8137473,207.1677742,93.33732593,144.0185281,85.39458457,123.4236764,67.61756747,170.3182566
145173,9.212954915,11.14807565,11.48754922,10.35373254,9.346916638,9.700228028,9.819350006,10.13259757,11.19694265,10.24338032,12.272633,9.165291709
122042,0,0,0,0,0,0,0,0,0,0,0,0.022414094
196549,0.019947771,0,0.125835562,0.056378665,0.114843639,0.107044596,0.088496146,0,0.019429486,0.02217798,0.068800092,0
100507099,0.01850775,0,0,0,0.019406045,0,0,0.020257401,0,0,0,0
10129,0.435140086,0.326938609,2.072197962,2.09200674,0.993552117,2.047340208,0.567244641,0.25703477,0.699656847,0.560618601,0.513565484,0.784341901
646799,0.083183679,0.018332881,0,0,0.018412542,0.026579346,0.066365847,0.039252513,0.038631809,0.021832871,0.071255864,0
675,15.91365653,14.53471318,8.095896799,3.562526665,1.896934657,4.830250832,22.32641241,29.71835875,28.67115448,14.32374705,16.05808907,11.3849009
90634,2.513907326,2.328332297,2.521578282,3.917498345,7.339504412,7.948555504,10.94627497,7.083497544,9.161979006,17.1636751,14.11634598,22.83923566
10443,95.75366087,78.22519762,86.04668336,73.22228571,116.0591746,80.29367829,113.128138,100.8249216,99.21515789,104.7856932,110.1186321,105.5220094
116828,6.133383795,2.850527901,2.894379131,3.571908309,6.241167844,6.26800652,4.990855786,2.503879244,3.418281485,4.427584322,2.405389586,5.64077048
23047,45.10002225,41.12895735,31.2536872,32.16155526,27.43450831,38.88218888,55.01993238,61.71291387,57.86822442,60.57953501,57.77645575,63.2174011
9365,0,0,0,0,0,0,0,0.019875812,0.019429486,0.02217798,0,0.022414094
90627,12.08030218,10.37224608,6.388773992,5.7094417,2.927046538,7.625526396,13.52158979,12.55785298,10.08937966,9.406787752,10.8150675,8.114562977
5983,24.32432643,31.41133602,17.68998975,12.65620216,11.65168409,14.22744742,51.01860042,59.48120236,54.01983429,35.63562388,45.42951056,33.14855711
26960,1.556730594,1.113619173,1.064777175,0.919415806,0.975085068,0.802547801,4.308385001,4.165660843,3.486029557,4.047819189,4.033564229,4.328406092
4081,0.079481928,0.101377516,0.058228037,0.037101486,0.095831967,0,0,0,0,0,0,0
100507114,0,0,0.022535842,0,0,0,0,0,0,0,0,0
9201,0.464240535,0.622267018,0.294417812,0.187258036,0.134044927,0.076102315,0.444269592,0.320713143,0.298389935,0.759153715,0.964570917,0.94563419
54937,5.552099887,4.485192554,2.925409145,3.109705269,1.424683925,1.49950543,3.065820376,1.875075856,1.951586294,2.439074292,5.288995762,3.774795577
728591,2.32037084,1.36048122,1.023038965,1.230139995,0.661298247,0.731535632,1.715444789,1.637240937,1.579454289,1.844002273,2.692021466,2.02794151
23111,77.5637554,84.65211441,71.32847527,88.33817212,115.5792622,104.1937238,88.21946108,80.59467367,66.93646788,95.20169163,91.00615423,120.0368867
100507135,0.058403292,0.041522317,0.015481349,0.018550743,0.018412542,0.026579346,0.10736588,0.039252513,0.019202323,0.065498612,0,0.052145403
8900,6.207125371,2.354972377,1.953440555,1.281844417,5.622301138,3.135389771,3.670160927,2.119926076,1.713220877,1.556651188,0.838645492,0.712865641
400120,0,0,0,0,0,0,0,0,0,0,0,0
5994,5.642668829,5.424755259,3.657636678,3.665989205,3.927779132,2.447637694,9.2119909,7.079066755,6.932566012,7.467232492,7.077317008,6.091667431
